City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
283,Itarema,BR,83.19,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
290,Lano,NG,80.64,scattered clouds,10.1725,11.4715,Lano
291,Paratinga,BR,83.12,overcast clouds,-12.6906,-43.1842,Pousada Magalhães 2
293,Dabola,GN,81.68,overcast clouds,10.75,-11.1167,Hotel Tinkisso
297,Bubaque,GW,78.57,broken clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
298,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
300,Visakhapatnam,IN,71.64,clear sky,17.69,83.2093,Best Western Ramachandra Hotel
301,Bambanglipuro,ID,76.71,broken clouds,-7.95,110.2833,Puri Brata
302,Inirida,CO,86.2,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
304,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Hotel Pigalle
305,Salalah,OM,73.49,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
306,Kiunga,PG,72.3,light rain,-6.1219,141.2906,Airport Lodge Kiunga
307,Vanimo,PG,77.38,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
311,The Valley,AI,85.86,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
314,Vao,NC,75.43,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
316,Pizarro,CO,81.59,scattered clouds,4.9533,-77.366,Hotel Limonar
319,Lompoc,US,76.08,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
320,Kaduqli,SD,86.38,overcast clouds,11.0167,29.7167,فندق الله جابو
323,Savelugu,GH,86.77,overcast clouds,9.6244,-0.8253,Yoo Naa's Palace
