,City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
166,166,Antofagasta,CL,-23.65,-70.4,69.08,71,70,7.78,broken clouds
167,167,Sigulda,LV,57.1519,24.8647,36.32,81,100,18.99,overcast clouds
168,168,Mubi,NG,10.2676,13.2644,76.42,16,36,4.7,scattered clouds
169,169,Alta Floresta,BR,-9.8756,-56.0861,75.02,100,40,2.3,scattered clouds
170,170,Sorong,ID,-0.8833,131.25,80.33,79,77,4.81,broken clouds
171,171,Lavrentiya,RU,65.5833,-171.0,-18.15,94,5,8.59,clear sky
172,172,Port Hardy,CA,50.6996,-127.4199,49.75,81,75,6.91,broken clouds
173,173,Chuy,UY,-33.6971,-53.4616,94.06,32,0,15.28,clear sky
174,174,Juba,SS,4.8517,31.5825,80.1,37,48,4.47,scattered clouds
175,175,La Ronge,CA,55.1001,-105.2842,8.85,92,100,1.14,mist
176,176,Honningsvag,NO,70.9821,25.9704,31.53,92,100,20.65,light snow
177,177,Riyadh,SA,24.6877,46.7219,60.94,73,100,2.35,overcast clouds
178,178,Newport,GB,51.5877,-2.9984,42.03,86,0,5.61,clear sky
179,179,Longyearbyen,SJ,78.2186,15.6401,10.24,52,40,13.8,scattered clouds
180,180,Alexandria,EG,31.2156,29.9553,53.56,66,40,12.66,scattered clouds
181,181,Smolenka,RU,52.1352,113.4974,-23.06,69,42,0.0,scattered clouds
182,182,Kaa-Khem,RU,51.6833,94.7333,-17.1,94,35,3.09,scattered clouds
183,183,Evensk,RU,61.95,159.2333,2.35,76,4,11.16,clear sky
184,184,Qesarya,IL,32.5189,34.9046,52.52,76,58,12.35,broken clouds
185,185,Broome,US,42.2506,-75.833,28.17,76,75,5.01,broken clouds
186,186,Provideniya,RU,64.3833,-173.3,-6.14,84,15,4.72,few clouds
187,187,Bardiyah,LY,31.7561,25.0865,53.51,60,100,10.33,overcast clouds
188,188,New Norfolk,AU,-42.7826,147.0587,64.76,78,99,2.17,overcast clouds
189,189,Amuntai,ID,-2.4177,115.2494,73.67,98,100,2.06,light rain
190,190,Jamestown,US,42.097,-79.2353,29.52,67,100,5.99,overcast clouds
191,191,Saldanha,ZA,-33.0117,17.9442,66.25,87,65,6.53,broken clouds
192,192,Mizdah,LY,31.4451,12.9801,43.92,82,11,8.3,few clouds
193,193,Lebu,CL,-37.6167,-73.65,67.48,79,72,9.46,broken clouds
194,194,Trinidad,BO,-14.8333,-64.9,85.98,62,40,4.61,scattered clouds
195,195,Shushenskoye,RU,53.325,91.9356,-16.37,100,95,1.95,overcast clouds
196,196,Port Elizabeth,ZA,-33.918,25.5701,76.1,94,75,18.41,broken clouds
197,197,Ballina,AU,-28.8667,153.5667,69.76,92,61,0.0,broken clouds
198,198,Coquimbo,CL,-29.9533,-71.3436,69.53,68,0,14.97,clear sky
199,199,Padang,ID,-0.9492,100.3543,77.29,80,100,4.59,overcast clouds
200,200,Huilong,CN,31.8111,121.655,41.04,82,93,4.18,overcast clouds
201,201,Dudinka,RU,69.4058,86.1778,6.62,90,100,25.99,overcast clouds
202,202,Lesnoy,RU,57.6198,63.0784,10.15,94,100,11.48,light snow
203,203,Konstantinovka,RU,49.6167,127.9833,-9.62,97,100,1.48,overcast clouds
204,204,Areia Branca,BR,-4.9561,-37.1369,82.6,67,100,12.48,overcast clouds
205,205,Kijang,KR,35.2442,129.2139,26.33,32,100,6.15,overcast clouds
206,206,Hillsborough,US,37.5741,-122.3794,64.94,60,0,1.01,clear sky
207,207,Shaki,AZ,41.0833,47.1667,30.99,45,9,2.89,clear sky
208,208,Lata,PT,40.1629,-8.3327,48.61,72,99,4.32,overcast clouds
209,209,Sungaipenuh,ID,-2.0833,101.3833,62.64,96,100,3.62,overcast clouds
210,210,Nemuro,JP,43.3236,145.575,31.66,81,51,27.29,broken clouds
211,211,Faanui,PF,-16.4833,-151.75,80.65,82,100,31.81,light rain
212,212,Jenison,US,42.9072,-85.792,25.02,77,100,5.01,overcast clouds
213,213,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,79.84,78,99,9.37,overcast clouds
214,214,Norman Wells,CA,65.282,-126.8329,-9.36,64,100,9.22,light snow
215,215,Puerto Madryn,AR,-42.7692,-65.0385,88.09,22,6,12.68,clear sky
216,216,Verkh-Usugli,RU,52.7,115.1667,-19.44,96,10,3.18,clear sky
217,217,Bathsheba,BB,13.2167,-59.5167,83.01,69,40,13.8,scattered clouds
218,218,Ternate,ID,0.8,127.4,79.66,82,97,7.56,overcast clouds
219,219,Kudahuvadhoo,MV,2.6708,72.8944,81.48,75,94,9.17,overcast clouds
220,220,Bandarbeyla,SO,9.4942,50.8122,75.29,67,99,13.98,overcast clouds
221,221,Caravelas,BR,-17.7125,-39.2481,80.38,64,0,7.27,clear sky
222,222,Sola,VU,-13.8833,167.55,79.3,80,100,8.16,moderate rain
223,223,Saint-Augustin,CA,51.226,-58.6502,19.51,95,100,7.99,overcast clouds
224,224,Ulladulla,AU,-35.35,150.4667,72.88,85,100,4.07,overcast clouds
225,225,Mahajanga,MG,-15.7167,46.3167,82.42,78,40,8.05,scattered clouds
226,226,Tupi Paulista,BR,-21.3811,-51.5706,88.16,49,82,7.65,broken clouds
227,227,Karratha,AU,-20.7377,116.8463,85.93,73,93,1.5,light rain
228,228,Nhulunbuy,AU,-12.2333,136.7667,79.41,94,40,0.0,scattered clouds
229,229,Mar Del Plata,AR,-38.0023,-57.5575,107.62,15,0,19.57,clear sky
230,230,Nuuk,GL,64.1835,-51.7216,20.01,68,100,20.71,overcast clouds
231,231,Tulagi,SB,-9.0996,160.1476,80.92,78,100,15.97,moderate rain
232,232,Pyapon,MM,16.2833,95.6833,72.41,83,3,5.77,clear sky
233,233,Cuenca,EC,-2.8833,-78.9833,64.53,59,75,5.75,broken clouds
234,234,Puerto Ayacucho,VE,5.6639,-67.6236,96.85,31,62,4.03,broken clouds
235,235,Avarua,CK,-21.2078,-159.775,80.65,69,75,6.91,broken clouds
236,236,Roebourne,AU,-20.7833,117.1333,86.13,74,77,5.64,light rain
237,237,Dingle,PH,10.9995,122.6711,72.46,70,100,9.42,overcast clouds
238,238,Adrar,MR,20.5022,-10.0711,67.05,21,49,12.39,scattered clouds
239,239,West Des Moines,US,41.572,-93.7453,35.24,95,100,7.0,snow
240,240,Lagos,NG,6.5833,3.75,80.82,83,61,5.95,broken clouds
241,241,Belaya Gora,RU,68.5333,146.4167,-34.91,100,63,2.3,broken clouds
242,242,Kaitangata,NZ,-46.2817,169.8464,54.19,86,46,3.51,scattered clouds
243,243,Thinadhoo,MV,0.5333,72.9333,82.08,74,99,9.08,overcast clouds
244,244,Kamenka,RU,51.3223,42.7678,32.76,98,100,16.6,snow
245,245,Rantauprapat,ID,2.1,99.8333,72.54,96,8,1.45,clear sky
246,246,Bischofshofen,AT,47.4167,13.2167,38.53,95,64,3.51,broken clouds
247,247,Saint George,US,37.1041,-113.5841,61.27,31,0,4.0,haze
248,248,Codrington,AU,-38.2667,141.9667,63.32,93,99,7.85,overcast clouds
249,249,Asilah,MA,35.465,-6.0348,53.56,66,8,10.74,clear sky
250,250,Torbay,CA,47.6666,-52.7314,46.27,91,75,26.46,light rain
251,251,Waitati,NZ,-45.75,170.5667,59.34,70,4,3.76,clear sky
252,252,Olinda,BR,-8.0089,-34.8553,78.53,89,75,5.75,broken clouds
253,253,Bandar-E Anzali,IR,37.4727,49.4622,37.51,82,99,3.24,overcast clouds
254,254,Las Choapas,MX,17.9333,-94.0833,75.25,70,33,4.94,scattered clouds
255,255,Airai,TL,-8.9266,125.4092,61.63,89,100,3.2,overcast clouds
256,256,Maceio,BR,-9.6658,-35.7353,83.64,69,75,11.5,broken clouds
257,257,Guarenas,VE,10.4674,-66.6066,87.64,51,52,4.56,broken clouds
258,258,Fairlie,GB,55.756,-4.8556,43.39,81,100,9.4,overcast clouds
259,259,Kloulklubed,PW,7.0419,134.2556,79.3,72,100,20.02,overcast clouds
260,260,Luderitz,,-26.6481,15.1594,66.33,87,40,2.91,scattered clouds
261,261,Alugan,PH,12.2188,125.4808,75.58,75,100,13.78,overcast clouds
262,262,Asau,RO,46.4333,26.4,34.72,83,30,6.91,scattered clouds
263,263,Shuangyang,CN,43.5242,125.6736,17.56,81,100,8.93,overcast clouds
264,264,Hinton,CA,53.4001,-117.5857,32.04,88,100,7.27,overcast clouds
265,265,Rehoboth,,-23.3167,17.0833,76.41,46,89,10.8,light rain
266,266,Wasilla,US,61.5814,-149.4394,39.18,71,100,9.22,light rain
267,267,Fairbanks,US,64.8378,-147.7164,7.14,85,100,0.0,overcast clouds
268,268,Bagan,RU,54.1001,77.6646,6.64,98,88,7.72,overcast clouds
269,269,Kindu,CD,-2.95,25.95,69.22,96,100,0.74,overcast clouds
270,270,Savannah Bight,HN,16.45,-85.85,82.45,68,5,7.45,clear sky
271,271,Komatipoort,ZA,-25.4332,31.9548,76.21,93,45,3.85,scattered clouds
272,272,Nome,US,64.5011,-165.4064,15.87,57,40,14.97,scattered clouds
273,273,Ciudad Bolivar,VE,8.1222,-63.5497,94.33,33,68,5.97,broken clouds
274,274,Francistown,BW,-21.17,27.5079,70.16,85,100,12.15,light rain
275,275,Dwarka,IN,22.2394,68.9678,67.05,47,0,14.83,clear sky
276,276,Lorengau,PG,-2.0226,147.2712,81.72,81,100,8.23,overcast clouds
277,277,Kingaroy,AU,-26.5333,151.8333,67.05,100,92,0.0,overcast clouds
278,278,Kichera,RU,55.9375,110.0997,-6.86,94,100,1.45,overcast clouds
279,279,Birkeland,NO,58.3309,8.2323,36.95,56,0,4.61,clear sky
280,280,Mindelo,CV,16.8901,-24.9804,71.15,64,0,8.05,clear sky
281,281,Chopovychi,UA,50.8332,28.9533,32.85,68,86,25.79,overcast clouds
282,282,Tighina,MD,46.8306,29.4711,46.27,70,86,28.68,overcast clouds
283,283,Itarema,BR,-2.9248,-39.9167,83.19,70,20,14.07,few clouds
284,284,Fallon,US,39.4735,-118.7774,47.43,54,40,0.0,scattered clouds
285,285,Pervomayskoye,RU,43.919,46.7102,32.2,63,67,9.08,broken clouds
286,286,Xihe,CN,31.6864,113.4659,33.26,93,11,2.98,few clouds
287,287,Broken Hill,AU,-31.95,141.4333,67.71,60,0,10.36,clear sky
288,288,Los Llanos De Aridane,ES,28.6585,-17.9182,67.12,32,0,5.99,clear sky
289,289,Qixingtai,CN,30.4135,111.8874,36.25,92,15,2.26,few clouds
290,290,Lano,NG,10.1725,11.4715,80.64,12,45,4.99,scattered clouds
291,291,Paratinga,BR,-12.6906,-43.1842,83.12,67,95,3.58,overcast clouds
292,292,Apache Junction,US,33.4151,-111.5496,69.84,31,100,3.0,overcast clouds
293,293,Dabola,GN,10.75,-11.1167,81.68,20,100,2.51,overcast clouds
294,294,Senno,RU,59.5336,33.9167,27.27,96,100,13.22,snow
295,295,Kurilsk,RU,45.2333,147.8833,32.94,88,100,16.02,light snow
296,296,Frunze,UA,48.6686,38.7544,35.58,91,100,26.57,overcast clouds
297,297,Bubaque,GW,11.2833,-15.8333,78.57,74,76,21.68,broken clouds
298,298,Miri,MY,4.4148,114.0089,75.34,94,40,3.44,scattered clouds
299,299,Gat,IL,31.61,34.7642,51.4,100,96,11.68,overcast clouds
300,300,Visakhapatnam,IN,17.69,83.2093,71.64,85,5,4.52,clear sky
301,301,Bambanglipuro,ID,-7.95,110.2833,76.71,88,73,5.28,broken clouds
302,302,Inirida,CO,3.8653,-67.9239,86.2,59,100,3.15,overcast clouds
303,303,Tadine,NC,-21.55,167.8833,77.41,76,37,11.52,scattered clouds
304,304,Cabedelo,BR,-6.9811,-34.8339,77.67,71,54,11.01,broken clouds
305,305,Salalah,OM,17.0151,54.0924,73.49,64,75,3.44,broken clouds
306,306,Kiunga,PG,-6.1219,141.2906,72.3,100,100,0.36,light rain
307,307,Vanimo,PG,-2.6741,141.3028,77.38,89,100,4.07,overcast clouds
308,308,Turochak,RU,52.2576,87.1224,0.46,98,54,3.85,broken clouds
309,309,Pampa,US,35.5362,-100.9599,60.84,29,0,40.29,haze
310,310,Grass Valley,US,39.2191,-121.0611,66.99,29,0,1.99,clear sky
311,311,The Valley,AI,18.217,-63.0578,85.86,69,20,9.22,few clouds
312,312,Swan Hill,AU,-35.3378,143.5544,66.11,66,0,10.71,clear sky
313,313,Yumen,CN,40.2833,97.2,21.42,59,15,11.41,few clouds
314,314,Vao,NC,-22.6667,167.4833,75.43,74,99,13.15,overcast clouds
315,315,Abha,SA,18.2164,42.5053,57.02,67,0,4.61,clear sky
316,316,Pizarro,CO,4.9533,-77.366,81.59,68,50,8.97,scattered clouds
317,317,Baruun-Urt,MN,46.6806,113.2792,-5.66,87,62,5.01,broken clouds
318,318,Elat,IL,29.5581,34.9482,57.04,47,40,4.61,scattered clouds
319,319,Lompoc,US,34.6391,-120.4579,76.08,42,0,5.75,clear sky
320,320,Kaduqli,SD,11.0167,29.7167,86.38,23,100,5.17,overcast clouds
321,321,Brae,GB,60.3964,-1.353,44.51,72,100,9.75,overcast clouds
322,322,Almendralejo,ES,38.6832,-6.4075,45.37,73,74,5.99,broken clouds
323,323,Savelugu,GH,9.6244,-0.8253,86.77,11,100,6.89,overcast clouds
324,324,Ixtapa,MX,20.7,-105.2,78.03,65,0,9.22,clear sky
325,325,Haines Junction,CA,60.7522,-137.5108,24.75,93,100,1.14,overcast clouds
326,326,Jizan,SA,17.3333,42.6667,77.94,75,5,4.79,clear sky
327,327,Nanortalik,GL,60.1432,-45.2371,16.79,72,3,7.36,clear sky
328,328,Pouebo,NC,-20.4,164.5667,78.13,82,18,9.51,few clouds
329,329,Bontang,ID,0.1333,117.5,76.89,85,100,5.26,overcast clouds
330,330,San Miguel,SV,13.4833,-88.1833,94.93,29,2,2.46,clear sky
