City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
49,Qaanaaq,GL,2022-01-04 21:35:02,77.484,-69.3632,-5.55,61,12,7.96
50,Cidreira,BR,2022-01-04 21:35:02,-30.1811,-50.2056,75.65,90,100,5.99
51,Verkhoyansk,RU,2022-01-04 21:35:03,67.5447,133.385,-56.24,98,68,2.75
52,Lagoa,PT,2022-01-04 21:35:03,39.05,-27.9833,58.53,63,88,7.58
53,Khatanga,RU,2022-01-04 21:35:04,71.9667,102.5,-28.5,84,21,14.61
54,Salinopolis,BR,2022-01-04 21:34:03,-0.6136,-47.3561,77.54,88,87,6.78
55,Flin Flon,CA,2022-01-04 21:35:04,54.7682,-101.865,-22.16,69,75,9.22
56,Pemangkat,ID,2022-01-04 21:35:05,1.1667,108.9667,77.68,89,100,5.97
57,Barrow,US,2022-01-04 21:35:05,71.2906,-156.7887,3.22,78,90,13.8
58,Safaga,EG,2022-01-04 21:35:05,26.7292,33.9365,58.95,59,0,13.44
59,Surgut,RU,2022-01-04 21:35:06,61.25,73.4167,-6.92,76,0,7.0
60,Nowy Targ,PL,2022-01-04 21:35:06,49.4778,20.0323,51.01,78,100,17.4
61,Longyearbyen,SJ,2022-01-04 21:35:06,78.2186,15.6401,-0.56,71,0,13.8
62,Cape Town,ZA,2022-01-04 21:31:42,-33.9258,18.4232,65.26,75,20,1.01
63,Carnarvon,AU,2022-01-04 21:35:07,-24.8667,113.6333,77.07,83,40,9.22
64,Bredasdorp,ZA,2022-01-04 21:35:07,-34.5322,20.0403,65.52,68,13,10.36
65,Avera,US,2022-01-04 21:35:08,33.194,-82.5271,54.91,61,25,6.49
66,Bethel,US,2022-01-04 21:35:08,41.3712,-73.414,32.99,59,16,4.76
67,Jiaocheng,CN,2022-01-04 21:35:08,24.6774,116.1389,61.09,84,95,1.07
68,Vestmannaeyjar,IS,2022-01-04 21:35:09,63.4427,-20.2734,35.17,82,100,21.0
69,Noumea,NC,2022-01-04 21:35:09,-22.2763,166.4572,84.18,99,63,8.34
70,Jamestown,US,2022-01-04 21:35:10,42.097,-79.2353,36.01,40,1,5.01
71,Christchurch,NZ,2022-01-04 21:33:15,-43.5333,172.6333,72.32,68,20,5.01
72,Mangrol,IN,2022-01-04 21:35:10,21.1167,70.1167,71.38,80,36,9.22
73,East London,ZA,2022-01-04 21:35:10,-33.0153,27.9116,72.99,95,95,4.56
74,Bambous Virieux,MU,2022-01-04 21:35:11,-20.3428,57.7575,79.05,83,75,11.5
75,Hasaki,JP,2022-01-04 21:35:11,35.7333,140.8333,32.4,42,3,20.24
76,Rancho Palos Verdes,US,2022-01-04 21:32:51,33.7445,-118.387,68.52,69,20,4.0
77,Tiksi,RU,2022-01-04 21:35:11,71.6872,128.8694,-37.41,97,70,7.43
78,New Norfolk,AU,2022-01-04 21:35:12,-42.7826,147.0587,58.91,68,100,1.01
79,Souillac,MU,2022-01-04 21:35:12,-20.5167,57.5167,79.18,83,75,11.5
80,Jiexiu,CN,2022-01-04 21:35:13,37.0244,111.9125,29.14,50,48,0.4
81,Saint George,US,2022-01-04 21:31:02,37.1041,-113.5841,54.07,45,1,1.01
82,Tuktoyaktuk,CA,2022-01-04 21:35:13,69.4541,-133.0374,-25.6,75,40,6.91
83,Chokurdakh,RU,2022-01-04 21:35:13,70.6333,147.9167,-30.73,95,98,4.61
84,Laguna,US,2022-01-04 21:32:03,38.421,-121.4238,60.1,80,90,1.99
85,Paamiut,GL,2022-01-04 21:35:14,61.994,-49.6678,29.21,95,100,23.09
86,Krasnyy Chikoy,RU,2022-01-04 21:35:14,50.3643,108.7512,-5.51,99,49,1.81
87,Saint-Philippe,RE,2022-01-04 21:35:14,-21.3585,55.7679,76.59,82,47,10.38
88,Vostok,RU,2022-01-04 21:35:15,46.4856,135.8833,-25.26,97,13,4.5
89,Haicheng,CN,2022-01-04 21:35:16,40.8516,122.7475,14.7,35,0,2.1
90,Tazmalt,DZ,2022-01-04 21:35:16,36.3868,4.3989,53.24,50,1,7.18
91,Tarakan,ID,2022-01-04 21:35:17,3.3,117.6333,76.5,100,40,3.44
92,Chuy,UY,2022-01-04 21:35:17,-33.6971,-53.4616,67.71,92,100,5.73
93,Fernie,CA,2022-01-04 21:33:01,49.5,-115.0687,13.17,87,100,5.97
94,Uyuni,BO,2022-01-04 21:35:18,-20.4597,-66.825,66.07,16,4,9.53
